entry_id,entry_type,title,description,effects_or_consequence,source_ids,baseline_status
FM-097,failure_mode,Pack flow control valve stuck mid-position,"Conditioning pack cannot meet demanded flow state","Temperature and pressurization control degradation",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-098,failure_mode,Smoke extraction fan reverse-rotation command error,"Command polarity error drives ineffective smoke extraction pattern","Smoke persists in occupied zones",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-099,failure_mode,Fire-bottle discharge squib continuity false good,"Health monitor reports discharge circuit healthy despite open path","Suppression unavailable when commanded",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-100,failure_mode,Cargo compartment temperature sensor bias,"Thermal sensors under-report compartment heating trend","Late detection of thermal runaway precursor",SRC-NTSB-CAROL|SRC-EASA-CS25,seeded
FM-101,failure_mode,Oxygen mask deployment inhibit not cleared,"Inhibit flag persists into active pressurization hazard state","Delayed oxygen availability to occupants",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-102,failure_mode,Recirculation fan contamination alarm suppression,"Air-quality warning logic is masked by stale maintenance state","Continued exposure to degraded cabin air quality",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
FM-103,failure_mode,Towbar disconnect indication false clear,"Indication reports clear while tow linkage remains attached","Unexpected yaw or structural stress at taxi power-up",SRC-NASA-ASRS|SRC-FAA-RWYSAFE,seeded
FM-104,failure_mode,Door-proximity interlock bypass during engine start,"Engine start enable ignores unsafe door or panel state","Personnel exposure to intake and blast zones",SRC-OSHA-RFMW|SRC-NASA-ASRS,seeded
FM-105,failure_mode,Beacon or strobe ground inhibit fault,"Ground safety lighting does not activate under engine or rotor operation","Reduced personnel situational awareness around aircraft",SRC-NASA-ASRS|SRC-FAA-RWYSAFE,seeded
FM-106,failure_mode,Chock status sensor stuck removed,"Wheel restraint sensed absent despite chocks installed or vice versa","Incorrect thrust and pushback readiness decisions",SRC-FAA-RWYSAFE|SRC-NASA-ASRS,seeded
FM-107,failure_mode,Ground radar or vision fusion dropout near apron clutter,"Object tracking drops in dense apron reflections","Late detection of vehicles or personnel",SRC-FAA-RWYSAFE|SRC-ICAO-ADREP,seeded
FM-108,failure_mode,Marshalling signal interpretation classifier confusion,"Guidance classifier maps valid marshalling cues to wrong intents","Incorrect taxi or stop response on ramp",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-109,failure_mode,Service panel latch status false closed,"Panel secure indication is false while panel remains open","FOD release and component damage risk during taxi",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
FM-110,failure_mode,Cabin-to-ground interphone routing failure,"Ground crew communication path unavailable during critical servicing","Mis-coordination in fueling and departure readiness",SRC-NASA-ASRS|SRC-FAA-RWYSAFE,seeded
HZ-053,hazard,Thrust asymmetry hazard during go-around,"Engine control disagreement persists through high-power transition","Runway or terrain conflict during missed approach",SRC-NTSB-CAROL|SRC-EASA-CS25,seeded
HZ-054,hazard,Fuel-feed interruption hazard,"Feed path instability starves engine despite usable fuel onboard","Dual-channel thrust shortfall and forced diversion risk",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
HZ-055,hazard,Uncontained power transient during restart configuration hazard,"Bleed and engine transitions trigger unstable propulsion state","Loss of performance margin in critical phase",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
HZ-056,hazard,Propulsion control-channel disagreement hazard,"Commanded and executed thrust states diverge across channels","Crew confusion and delayed corrective action",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
HZ-057,hazard,Total electrical power-quality collapse hazard,"Oscillation and harmonic distortion disrupt multiple essential buses","Widespread avionics and control-function degradation",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
HZ-058,hazard,Essential-load loss during bus transfer hazard,"Transfer logic drops critical loads during source handover","Control and navigation capability gap",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
HZ-059,hazard,Battery reserve depletion-before-landing hazard,"State-of-charge overestimate delays conservation actions","Insufficient emergency endurance in terminal phase",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
HZ-060,hazard,Electrical fire initiation from undetected arc hazard,"Arc-fault desensitization allows sustained arcing","Smoke or fire propagation in equipment bays",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-061,hazard,Rapid depressurization control hazard,"Outflow or differential-pressure control fault drives sudden cabin pressure loss","Crew incapacitation risk and emergency descent demand",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-062,hazard,Smoke-extraction ineffectiveness hazard,"Extraction control errors fail to clear smoke from occupied compartments","Visibility and breathing impairment escalation",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-063,hazard,Oxygen availability loss in decompression event hazard,"Mask deployment inhibition persists during pressurization emergency","Severe hypoxia risk to crew and passengers",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-064,hazard,Toxic-air recirculation hazard,"Air-quality alarms suppressed while contaminated air recirculates","Occupant impairment and diversion requirement",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
HZ-065,hazard,Ground-crew struck-by movement hazard,"Towbar, marshalling, or awareness faults permit unsafe aircraft movement","Personnel injury and ramp incident escalation",SRC-FAA-RWYSAFE|SRC-NASA-ASRS,seeded
HZ-066,hazard,Engine start with unsafe servicing configuration hazard,"Interlock bypass allows start with unsafe ground state","Personnel exposure to blast and intake hazards",SRC-NASA-ASRS|SRC-FAA-RWYSAFE,seeded
HZ-067,hazard,Apron collision from guidance misclassification hazard,"Ground object or signal classification fails in cluttered apron operations","Aircraft-to-vehicle or aircraft-to-structure collision risk",SRC-ICAO-ADREP|SRC-FAA-RWYSAFE,seeded
HZ-068,hazard,Emergency egress delay on ground hazard,"Door or panel state errors and comm failures delay coordinated evacuation","Injury escalation during fire or smoke events",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
FM-111,failure_mode,FMS-autopilot mode handshake timeout,"Cross-system mode confirmation exceeds timing guard and falls back ambiguously","Divergent mode assumptions between guidance and control",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-112,failure_mode,Transponder-FMS flight-phase mismatch,"Surveillance state machine references stale flight-phase context","Incorrect transponder behavior for active phase",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
FM-113,failure_mode,Mission replanner ignores weather-avoidance constraint,"Replan objective omits mandatory weather exclusion zone","Route enters known hazardous weather volume",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-114,failure_mode,Electrical transient resets surveillance processor,"Bus disturbance triggers restart in surveillance computation chain","Temporary loss of cooperative traffic awareness",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-115,failure_mode,Hydraulic pressure drop not propagated to guidance limits,"Guidance envelope does not tighten after hydraulic degradation","Commands exceed current actuator authority",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
FM-116,failure_mode,Smoke alert inhibits communication-audio routing,"Alerting logic preempts critical radio audio channels","Reduced ATC coordination during fire response",SRC-NTSB-CAROL|SRC-FAA-AIM-C4S2,seeded
FM-117,failure_mode,Anti-ice demand exceeds electrical shedding margin,"Anti-ice load increase is not reconciled with power-priority logic","Unexpected essential load shed while in icing",SRC-FAA-CAST|SRC-EASA-CS25,seeded
FM-118,failure_mode,Fuel imbalance estimate not shared with flight controls,"Fuel asymmetry state fails to propagate to control-trim logic","Uncompensated roll tendency and workload increase",SRC-NASA-ASRS|SRC-EASA-CS25,seeded
FM-119,failure_mode,Datalink uplink applies stale clearance after clock rollback,"Time rollback allows outdated message to pass freshness checks","Execution of superseded clearance",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-120,failure_mode,Terrain database version mismatch across federated modules,"Different subsystems use inconsistent terrain models","Conflicting terrain cues and path constraints",SRC-SKY-CFIT|SRC-ICAO-ADREP,seeded
FM-121,failure_mode,Maintenance override flag persists into dispatch,"Ground-only bypass remains active in flight configuration","Safety interlocks unavailable in operation",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
FM-122,failure_mode,Fault isolation votes out healthy sensor due common clock error,"Voting logic treats time-skewed channel as failed","Single remaining channel drives critical control decisions",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-123,failure_mode,Watchdog restart loop masks root-cause alert,"Repeated subsystem restarts clear or suppress persistent fault annunciation","Latent hazard remains unaddressed",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-124,failure_mode,Crew alert prioritization inversion under multi-fault,"Lower-severity alerts supersede immediate action alerts","Delayed response to high-consequence failure",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
FM-125,failure_mode,Fail-operational to fail-safe transition deadlock,"Transition logic stalls between operational states after compounded faults","No assured safe configuration reached",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-126,failure_mode,Cyber-integrity monitor false positive inhibits safety function,"Integrity monitor blocks valid control path under benign condition","Loss of required safety function availability",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-127,failure_mode,Cyber-integrity monitor false negative allows unsafe control payload,"Malformed command bypasses integrity gating","Unsafe actuation reaches controlled function",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-128,failure_mode,Degraded-mode checklist recommendation mismatched to actual configuration,"Electronic procedure engine suggests actions for wrong failure state","Ineffective or harmful crew recovery actions",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
FM-129,failure_mode,Cross-domain data diode queue overflow drops critical state message,"Unidirectional queue saturation discards high-priority status updates","Supervisory control acts on incomplete system state",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-130,failure_mode,Emergency power mode disables required ice protection inadvertently,"Emergency load profile removes anti-ice function needed for conditions","Compounded power and icing hazard exposure",SRC-EASA-CS25|SRC-FAA-CAST,seeded
HZ-069,hazard,Integrated mode confusion across FMS-AP-FD hazard,"Cross-system mode mismatch persists in high-workload phases","Path destabilization and LOC-I precursor",SRC-FAA-AC-1309|SRC-SKY-LOCI,seeded
HZ-070,hazard,Surveillance-navigation inconsistency separation hazard,"Traffic identity and navigation context diverge across systems","Incorrect conflict-resolution actions",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-071,hazard,Weather-mission conflict routing hazard,"Mission objectives override weather-avoidance constraints","Convective penetration and structural or control risk",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
HZ-072,hazard,Cascading power-hydraulic control-loss hazard,"Electrical and hydraulic degradations combine without coordinated limits","Rapid reduction of control authority",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
HZ-073,hazard,Hidden common-cause clock failure hazard,"Timebase corruption drives synchronized cross-system logic errors","Widespread mis-sequencing and hazard amplification",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
HZ-074,hazard,Alert flooding and crew-channelization hazard,"Multi-system alarms overwhelm prioritization and channel capacity","Critical cue miss and delayed mitigation",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
HZ-075,hazard,Unsafe dispatch from latent maintenance override hazard,"Ground-only bypass persists unnoticed into active operation","Safety barriers unavailable when needed",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
HZ-076,hazard,Safety-function inhibition from integrity-monitor malfunction hazard,"Integrity monitor false positives block required protections","Loss of designed safety net in degraded condition",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-077,hazard,Cross-domain critical-message loss hazard,"Queue overflow or gateway filtering drops critical safety state","Supervisory decisions made on incomplete truth set",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-078,hazard,Degraded-mode procedure mismatch hazard,"Recommended recovery procedure does not match actual failure topology","Incorrect crew actions worsen system state",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
HZ-079,hazard,Emergency-power thermal-and-icing compound hazard,"Emergency load shedding removes anti-ice under icing exposure","Concurrent performance and control-margin collapse",SRC-EASA-CS25|SRC-FAA-CAST,seeded
HZ-080,hazard,Multi-system recovery deadlock hazard,"Multiple subsystems wait on each other to enter safe state","No assured stable configuration reached",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-131,failure_mode,Primary flight display attitude source stale-frame acceptance,"Display pipeline accepts stale inertial frame without invalidation","Crew references outdated attitude state during maneuver",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-132,failure_mode,Alert inhibit mask persists after phase transition,"Temporary inhibit configuration remains active beyond intended phase","Critical caution or warning not presented to crew",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
FM-133,failure_mode,Crew-alert tone and visual cue desynchronization,"Aural and visual alert channels present inconsistent urgency timing","Mis-prioritized crew response to abnormal condition",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-134,failure_mode,Synthetic vision terrain layer clipping fault,"Terrain layer culls near-horizon obstacles under specific pitch states","Reduced terrain awareness in degraded visibility",SRC-SKY-CFIT|SRC-NASA-ASRS,seeded
FM-135,failure_mode,Checklist execution-state corruption in EFB integration,"Checklist step state resets during display context switch","Procedural omission in abnormal or emergency handling",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
HZ-081,hazard,Crew-alerting salience inversion hazard,"High-consequence alert rendered with lower perceived urgency than advisory","Delayed response to time-critical failure",SRC-FAA-AC-1309|SRC-NTSB-CAROL,seeded
HZ-082,hazard,Display-integrity induced terrain awareness hazard,"Stale or clipped terrain depiction misleads flight-path decisions","CFIT precursor under workload or weather stress",SRC-SKY-CFIT|SRC-NASA-ASRS,seeded
HZ-083,hazard,Procedural execution discontinuity hazard,"Digital checklist state corruption causes skipped critical actions","Compounded abnormal-condition escalation",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
FM-136,failure_mode,Time-sensitive networking gate schedule drift,"Deterministic network gate times drift under oscillator offset","Control and status message latency bound violation",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-137,failure_mode,Gateway protocol translation semantic truncation,"Safety-relevant field is dropped during cross-domain protocol translation","Downstream logic acts on incomplete command semantics",SRC-ICAO-ADREP|SRC-FAA-AC-1309,seeded
FM-138,failure_mode,Certificate revocation cache staleness,"Revoked endpoint credentials remain accepted due stale CRL cache","Unauthorized network participant remains trusted",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-139,failure_mode,Network partition health monitor false healthy,"Partitioned segment reports healthy due heartbeat loopback artifact","Latent comms isolation persists undetected",SRC-NASA-ASRS|SRC-FAA-AC-1309,seeded
FM-140,failure_mode,Telemetry compression fault on safety channel,"Lossy compression erroneously applied to lossless safety telemetry stream","Diagnostic and supervisory decisions based on distorted state",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
HZ-084,hazard,Deterministic-network latency guarantee loss hazard,"Timing drift or partitioning breaks bounded-latency assumptions","Delayed actuation and destabilized control loops",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-085,hazard,Unauthorized trusted-endpoint persistence hazard,"Credential revocation lag allows invalid endpoint command influence","Unsafe command pathway remains open",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-086,hazard,Cross-domain semantic-loss supervisory hazard,"Protocol translation drops safety-critical context across domains","Supervisory automation executes incomplete intent",SRC-ICAO-ADREP|SRC-FAA-AC-1309,seeded
FM-141,failure_mode,Built-in-test interval extension beyond dispatch assumption,"BIT scheduling stretches due maintenance mode flag conflict","Latent fault remains undiscovered before departure",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-142,failure_mode,Remaining useful life model feature drift,"Prognostic model input distribution shifts without recalibration","False confidence in component endurance",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
FM-143,failure_mode,Maintenance action closeout code misclassification,"Corrective action is logged as informational with no follow-up enforcement","Required remediation omitted before service",SRC-NTSB-CAROL|SRC-FAA-AC-1309,seeded
FM-144,failure_mode,Deferred defect accumulation threshold misapplied,"MEL or deferred defect threshold uses outdated fleet policy mapping","Unsafe dispatch with excessive latent degradations",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-145,failure_mode,Digital twin synchronization gap for critical component state,"Operational cycles are not fully ingested into maintenance state model","Wear exposure underestimated in planning",SRC-NASA-ASRS|SRC-EASA-CS25,seeded
HZ-087,hazard,Latent-fault dispatch hazard from diagnostic under-coverage,"Diagnostic interval and closeout errors permit unresolved critical faults","In-flight manifestation of preventable failure",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-088,hazard,Prognostic misclassification maintenance-defer hazard,"False benign prognosis delays required replacement or inspection","Failure probability increase in high-load phase",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
HZ-089,hazard,Maintenance-record integrity hazard,"Action coding and synchronization defects corrupt airworthiness evidence chain","Incorrect dispatch decision basis",SRC-NTSB-CAROL|SRC-FAA-AC-1309,seeded
FM-146,failure_mode,CPDLC message set version mismatch,"Ground and airborne endpoints negotiate incompatible message profile","Critical uplink element rejected or misparsed",SRC-ICAO-ADREP|SRC-FAA-AIM-C4S2,seeded
FM-147,failure_mode,ADS-B rebroadcast source selection conflict,"Multiple surveillance sources compete without deterministic arbitration","Broadcast identity and position jitter",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
FM-148,failure_mode,NOTAM ingestion filter drops safety-critical advisory,"Parsing rule excludes relevant temporary hazard notice","Route planning omits active operational restriction",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-149,failure_mode,RNP authorization state stale in navigation capability declaration,"Capability message declares outdated authorization level","Procedure selection exceeds certified capability",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
FM-150,failure_mode,External trajectory negotiation timeout fallback ambiguity,"Timeout policy chooses non-deterministic fallback profile","Trajectory coordination divergence with ATM partners",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
HZ-090,hazard,External-ATM coordination divergence hazard,"Capability or trajectory negotiation mismatch causes desynchronized intent","Separation and compliance risk escalation",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-091,hazard,Surveillance rebroadcast identity instability hazard,"Source arbitration fault causes identity jitter in shared airspace","Controller tracking and conflict resolution degradation",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
HZ-092,hazard,Operational-restriction omission hazard,"Dropped NOTAM or advisory allows entry into restricted or unsafe procedure context","Regulatory and safety exposure increase",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-151,failure_mode,Decision-support confidence calibration drift,"Model confidence remains high under out-of-distribution observations","Unsafe recommendation accepted without challenge",SRC-NASA-ASRS|SRC-MIL-1629A,seeded
FM-152,failure_mode,Autonomy policy conflict resolver non-termination,"Constraint solver cycles between mutually exclusive mission policies","No timely command output for safety-critical window",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
FM-153,failure_mode,Sensor saliency attribution leak to operator display,"Explainability output highlights non-causal feature as primary driver","Operator validates incorrect autonomy rationale",SRC-NASA-ASRS|SRC-FAA-AC-1309,seeded
FM-154,failure_mode,Onboard model rollback after brownout without integrity attestation,"Fallback model loads after power event without provenance verification","Behavioral envelope differs from expected certified baseline",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-155,failure_mode,Goal-priority weighting misconfiguration in autonomous planner,"Mission objective weight dominates safety objective due configuration error","Planner proposes unsafe but goal-optimal action",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
HZ-093,hazard,Over-trusted autonomy recommendation hazard,"Confidence drift and attribution faults reduce operator skepticism","Unsafe automation directive execution",SRC-NASA-ASRS|SRC-FAA-AC-1309,seeded
HZ-094,hazard,Autonomy policy deadlock hazard,"Constraint resolution non-termination delays response beyond safe window","Missed timely mitigation opportunity",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
HZ-095,hazard,Autonomy baseline provenance loss hazard,"Unattested model rollback changes behavior without crew awareness","Unexpected control behavior in critical phase",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-156,failure_mode,Crew duty-state synchronization lag in decision support,"Fatigue or duty-status state is stale in advisory logic","Inappropriate workload allocation recommendation",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
FM-157,failure_mode,Procedure branching ambiguity in electronic QRH,"Two similar failure branches share trigger wording without disambiguation","Crew selects suboptimal recovery path",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
FM-158,failure_mode,Training-scenario assumptions hard-coded into live advisory profile,"Non-operational assumptions remain active in line operations configuration","Advisory thresholds unsuitable for real conditions",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-159,failure_mode,Cross-crew confirmation prompt suppression under high alert load,"Mutual confirmation step not displayed when alert queue exceeds threshold","Single-point decision error not challenged",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-160,failure_mode,Language localization truncates critical procedural qualifier,"Localized text drops limiting condition in emergency action step","Action executed outside safe applicability envelope",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
HZ-096,hazard,Procedure-selection ambiguity hazard,"Ambiguous branching leads to incorrect abnormal checklist execution","Recovery delay and adverse state progression",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
HZ-097,hazard,Single-actor decision without confirmation hazard,"Confirmation prompt suppression removes crew cross-check barrier","Unsafe command committed without challenge",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
HZ-098,hazard,Localization-induced procedural misapplication hazard,"Critical qualifier omission in localized guidance mis-scopes action","Incorrect intervention with secondary hazards",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-161,failure_mode,Configuration baseline hash mismatch not blocking release,"Integrity mismatch is logged but does not gate deployment","Unverified build enters operational environment",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-162,failure_mode,Safety case evidence link rot in change package,"Traceability links to verification artifacts are broken or stale","Approval based on incomplete assurance evidence",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-163,failure_mode,Requirement to test-case binding drift after refactor,"Test mapping no longer covers revised requirement semantics","Undetected regression in safety-critical behavior",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-164,failure_mode,Release train merges conflicting safety mitigations,"Parallel branches introduce mutually incompatible mitigation logic","Net safety effect degraded at integration",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-165,failure_mode,Post-release telemetry guardband threshold too permissive,"Early-warning triggers are set above meaningful anomaly onset","Hazard trend not escalated during initial deployment",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
HZ-099,hazard,Unverified operational baseline release hazard,"Integrity and traceability gaps allow uncertified behavior into service","Safety barrier assumptions invalidated",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-100,hazard,Assurance evidence incompleteness hazard,"Broken evidence chain masks requirement and test coverage gaps","Unknown residual risk at approval gate",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
HZ-101,hazard,Mitigation-regression integration hazard,"Conflicting branch mitigations erode intended safety margin","Latent risk increase post-integration",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
